index,question,answer
10,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Whether the authority of the federal courts under the Administrative Procedure Act, 5 U.S.C. 706(1), to ""compel agency action unlawfully withheld or unreasonably delayed"" extends to review of the adequacy of an agency's ongoing management of public lands under general statutory standards and its own land use plans.
Options:
A. holding that “there is no difference, insofar as the validity of agency action is concerned, between an agency's exceeding the scope of its authority (its ‘jurisdiction’) and its exceeding authorized application of authority that it unquestionably has”
B. holding that federal courts have power to review an agency's actions to ensure that its own regulations have been followed
C. holding agency's issuance of an administrative complaint was not subject to review until final agency action despite its evident assumption that the propriety of the initial charging decision would not be subject to administrative review
D. holding that when ""an agency has `improperly'; `withheld'; `agency records' . . . [j]udicial authority to devise remedies and enjoin agencies can only be invoked, under the jurisdictional grant conferred by § 552, if the agency has contravened all three components of this obligation""
E. holding that a claim under the APA for a ""failure to act"" requires there to be a "" discrete agency action that it is required to take. "" (emphasis in original)
Answer with one of the option.",E
11,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Whether state statutory, common law negligence, and consumer protection act enforcement actions against a tow-motor carrier based on state law regulating the sale and disposal of a towed vehicle are related to a transportation service provided by the carrier and are thus preempted by 49 U.S.C. §14501(c)(1).
Options:
A. holding under ICCTA's predecessor statute that ""transportation by rail carrier"" includes ""service provided by interstate rail carriers on `equipment which they own'""
B. holding that § 14501(c) preempts two provisions of a Maine law regulating the delivery of tobacco within the state; Maine's attempt to require tobacco retailers to employ only delivery companies that follow particular delivery service procedures created a direct “connection with” motor carrier services— i.e., the transportation and delivery of goods
C. holding that the carrier was the owner's agent for the ""single, limited purpose"" of determining limitations on the liability of the carrier's downstream subcontractor and that it would be ""unsustainable"" to find that the carrier was ""automatically empowered to be the cargo owner's agent in every sense""
D. holding that NEPA does not require the Federal Motor Carrier Safety Administration to evaluate the environmental effects of cross-border motor carrier operations because the agency lacked the discretion to prevent those operations
E. holding that claims brought under the New Hampshire Consumer Protection Act were not preempted by the FAAAA because the unfair conduct alleged – the storage and disposal of a car - was not ""sufficiently connected to a motor carrier's service with respect to the transportation of property to warrant preemption""
Answer with one of the option.",E
12,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: ERISA's  ""anti-cutback""  rule,  29  U.S.C.  §  1054(g),  generally  prohibits  any pension  plan  amendment  which  has  the  effect  of  eliminating  or  reducing  a participant's  early  retirement  benefit  or  a  retirement-type  subsidy  with respect  to  benefits  attributable  to  service  before  the  amendment.    The Seventh  Circuit,  expressly  acknowledging  its  direct  conflict  with  a  1998 decision  of  the  Fifth  Circuit,  held  that  a  pension  plan  amendment  which expands  the  types  of  post-retirement  employment  that  trigger  mandatory suspension  of  early  retirement  benefits  violates  the  anti-  cutback  rule  when applied  to  suspend  the  benefits  of  participants  who  retired  before  the amendment.
Whether a ""suspension"" of early retirement benefits pursuant to a multiemployer pension plan amendment is an ""elimination"" or a ""reduction"" of such benefits which would be prohibited by ERISA's anti-cutback rule.
Options:
A. holding that ERISA preempts community property rights in pension plan benefits and that a pension plan participant cannot be required by state law to account for a deceased spouse's community property interest in pension plan proceeds
B. holding that a plan administrator's denial of ERISA benefits is reviewed under the arbitrary-and-capricious standard only if the benefit plan gives the plan administrator or fiduciary discretionary authority to determine eligibility for benefits or to construe the terms of the plan
C. holding that congressional reduction of social welfare benefits, or even elimination of such benefits, does not constitute a “taking” of private property
D. holding that a state law claim, brought by an employee who was terminated because of the employer's desire to avoid paying pension benefits, was preempted because an element of the state cause of action was whether an ERISA-regulated pension plan existed and the state law claim therefore had a “reference” to ERISA
E. holding that conditions could be placed upon receipt of an ERISA pension plan if those conditions were in place when employees entered into the contract establishing their plan
Answer with one of the option.",E
13,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Does the four-year ""catch-all"" limitations period of 28 U.S.C. §1658 apply to new causes of action created by public law 102-166, 105 Stat. 1071, the Civil Rights Act of 1991, which were codified at 42 U.S.C. §1981(a) and (b)?
Options:
A. holding that a law extending the limitations period enacted after expiration of a previously applicable statute of limitations violates the Ex Post Facto Clause; whereas a law extending the limitations period enacted before expiration of a previously applicable statute of limitations does not violate this clause
B. holding that § 101 of the Civil Rights Act of 1991, amending the definition announced in Patterson v. McLean Credit Union, 491 U.S. 164, 109 S.Ct. 2363, 105 L.Ed.2d 132 of the term `make and amend contracts' as used in 42 U.S.C. § 1981, ""does not apply to preenactment conduct.""
C. holding that the one-year limitations period runs ""from the date on which the right . . . was initially recognized by th[e] [Supreme] Court""
D. holding that ""when the underlying cause of action is based on federal law and the absence of an express federal statute of limitations makes it necessary to borrow a limitations period from another statute, the action is not barred if it has been commenced in compliance with Rule 3 within the borrowed period.""
E. holding that, ""[i]n § 1983 actions . . . a state statute of limitations and the coordinate tolling rules are more than a technical obstacle to be circumvented if possible. In most cases, they are binding rules of law"" unless the tolling rule is inconsistent with the United States Constitution or federal law
Answer with one of the option.",E
14,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Whether the court of appeals erred in holding that a private party cannot bring a Lanham Act claim challenging a product label regulated under the Food, Drug, and Cosmetic Act.
Options:
A. holding that private parties have an implied right to bring suit for violation of Section 14(a) of the Securities and Exchange Act
B. holding that a company may bring a claim against a competitor under the Lanham Act, 15 U.S.C. § 1125, for misleading product labeling, even where the challenged labeling may be permitted under the Federal Food, Drug, and Cosmetic Act, 21 U.S.C. §§ 301 –399f
C. holding that the general principles qualifying a mark for registration under § 2 of the Lanham Act are applicable in determining whether an unregistered mark is entitled to protection under § 43
D. holding that, although private parties do not have standing to sue other private parties under the Act, “an ‘appropriate’ role for private parties under § 9011(b) [is] to bring suits against the FEC to challenge its interpretations of various provisions of the Act”
E. holding that the FDA's decision not to take enforcement actions to prevent violations of the Federal Food, Drug, and Cosmetic Act, 21 U.S.C. Sec. 301 et seq., is not subject to judicial review under the Administrative Procedure Act, 5 U.S.C. Sec. 500 et seq.
Answer with one of the option.",B
15,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Whether a debt collector's legal error qualifies for the bona fide error defense under the Fair Debt Collection Practices Act (""FDCPA""), 15 U.S.C. § 1692.
Options:
A. holding that failure to instruct the jury on the presumption of innocence is an error subject to harmless error analysis
B. holding that Rule 11(c) error is not a form of ""structural"" error and, therefore, that ""Rule 11(h), specifically designed to stop automatic vacaturs, calls for across-the-board application of the harmless-error prescription (or, absent prompt objection, the plain-error rule)""
C. holding that “the bona fide error defense in § 1692k(c) does not apply to a violation of the FDCPA resulting from a debt collector’s incorrect interpretation of the requirements of that statute” and reversing the contrary judgment of the court of appeals
D. holding that lawyers who regularly collect consumer debt through litigation may be considered ""debt collectors"" under the Fair Debt Collection Practices Act, 15 U.S.C. §§ 1692- 1692o, and are therefore subject to liability for litigation activities
E. holding that 15 U.S.C. § 1692e ""do[es] not merely impose procedural requirements upon debt collectors, but instead 'create a private duty owed personally to' a consumer by a debt collector to refrain from using false, deceptive, or misleading means or representations in attempting to collect a debt""
Answer with one of the option.",C
16,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Under Title VII, a plaintiff seeking to bring suit for employment discrimination must first file a charge of discrimination with the EEOC within 300 days after the unlawful employment practice occurred. Where an employer adopts an employment practice that discriminates against African Americans in violation of Title VII's disparate impact provision, must a plaintiff file an EEOC charge within 300 days after the announcement of the practice, or may a plaintiff file a charge within 300 days after the employer's use of the discriminatory practice?
Options:
A. holding that the term ""employment practice"" in Title VII is not defined, but encompassed city's conduct when, in selecting applicants to advance in the hiring process, it excluded passing applicants who scored below a certain threshold on the qualification examination
B. holding that an employee whose employment was terminated after his fiancee, a co-employee, filed a sex-discrimination charge with the EEOC had standing as an “aggrieved person,” under a zone-of-interests test, to sue the employer under Title VII’s antiretaliation provision
C. holding that a private right of action does not arise until 180 days after a charge has been filed with the EEOC
D. holding that despite the literal terms of § 2000e-5(e), which suggest that the ""person aggrieved"" must institute the proceedings with a state agency in order to trigger the 300-day deadline, the EEOC can institute such proceedings on behalf of an employment-discrimination plaintiff
E. holding that historical practice is important when courts interpret the Constitution, “even when the nature or longevity of that practice is subject to dispute, and even when that practice began after the founding era”
Answer with one of the option.",A
17,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: This Court has held that the test to determine if a person is ""in custody"" to require warnings pursuant to Miranda v. Arizona, 384 U.S. 436 (1966), is an objective test (i.e., whether there is a ""formal arrest or restraint on freedom of movement"" of the degree associated with a formal arrest).  Thompson v. Keohane,  516 U.S. 99, 112 (1995) (quoting California v.  Beheler, 463  U.S. 1121, 1125  (1983)); Berkemer v. McCarty, 468 U.S. 420,442 (1984). The question presented is:
Whether,  in  applying  the  objective  test  for  a  ""custody""  determination  under Miranda,  a  court  must  consider  the  age  and  experience  of  a  person  if  he  or she is a juvenile.
Options:
A. holding that even in routine tax investigations a person in custody, regardless of the reason for his detention, must be given the warnings required by Miranda v. Arizona, 384 U.S. 436, 86 S.Ct. 1602, 16 L.Ed.2d 694 (1966)
B. holding that Miranda v. Arizona, 384 U. S. 436 (1966), and Escobedo v. Illinois, 378 U. S. 478 (1964), applied retroactively only to trials commenced after the decisions were released
C. holding that court was nowhere close to the mark in ruling that the state court had unreasonably applied established federal law by failing to consider a suspect's age when determining custodial status, where “[the Supreme Court's] opinions applying the Miranda custody test have not mentioned the suspect's age, much less mandated its consideration”
D. holding that a law enforcement officer's unarticulated subjective belief as to whether the person being questioned is a criminal suspect is irrelevant to the custody determination because a custody assessment depends on the objective circumstances of an interrogation
E. holding that person is seized only if she is detained by means intentionally applied to terminate her freedom of movement and that seizure occurs even when unintended person is object of detention, so long as means of detention are intentionally applied to that person
Answer with one of the option.",C
18,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Whether the United States Leadership Against HIV/ AIDS, Tuberculosis, and Malaria Act of 2003, 22 U.S.C. 7631(f), which requires an organization to have a policy explicitly opposing prostitution and sex trafficking in order to receive federal funding to provide HIV and AIDS programs overseas, violates the First Amendment.
Options:
A. holding that the federal regulations apply to the states in administering Medicaid programs
B. holding unconstitutional funding condition requiring recipients to affirm opposition to prostitution because it compelled grant recipient ""to adopt a particular belief as a condition of funding""
C. holding that an organization has standing to sue on behalf of its members where: (1) the individual members would otherwise have standing to sue on their own; (2) the interests the organization seeks to protect are germane to the organization's purpose; and (3
D. holding that the “HIV infection satisfies the statutory and regulatory definition of a physical impairment during every stage of the disease” but leaving it to courts to make a disability determination based on individual cir- cumstances
E. holding that an `appendix' incorporated by reference into a consent order, as well as a complaint that the consent order noted ""may be used in construing the terms of the order,"" were ""proper aids to the construction of the order and of the agreement of which it is part.""
Answer with one of the option.",B
19,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Whether the prescription drug labeling judgments imposed on manufacturers by the Food and Drug Administration (""FDA"") pursuant to FDA's comprehensive safety and efficacy authority under the Federal Food, Drug, and Cosmetic Act, 21 U.S.C. § 301 et seq., preempt state law product liability claims premised on the theory that different labeling judgments were necessary to make drugs reasonably safe for use.
Options:
A. holding that a company may bring a claim against a competitor under the Lanham Act, 15 U.S.C. § 1125, for misleading product labeling, even where the challenged labeling may be permitted under the Federal Food, Drug, and Cosmetic Act, 21 U.S.C. §§ 301 –399f
B. holding that federal law preempted state failure-to-warn claims against generic drug manufacturers because ""[i]t was not lawful under federal law for the Manufacturers to do what state law required of them,"" i.e., ""to use a different, stronger label"" than the one approved by the FDA
C. holding that the FDA’s drug label- ing judgments pursuant to the FDCA did not obstacle preempt state law products liability claims
D. holding that the statutory definition of “new drug” confers authority upon the FDA
E. holding that the FDA's decision not to take enforcement actions to prevent violations of the Federal Food, Drug, and Cosmetic Act, 21 U.S.C. Sec. 301 et seq., is not subject to judicial review under the Administrative Procedure Act, 5 U.S.C. Sec. 500 et seq.
Answer with one of the option.",C
20,"Given a legal question, identify the holding statement (amongst a set of candidates) that best answers a particular legal question.
Here is question: Section 7266(a) of Title 38, U.S.C., establishes a 120-day time limit for a veteran to seek judicial review of a final agency decision denying the veteran's claim for disability benefits. Before the decision below, the Federal Circuit in two en banc decisions held that Section 7266(a) constitutes a statute of limitations subject to the doctrine of equitable tolling under this Court's decision in Irwin v. Department of Veterans Affairs, 498 U.S. 89 (1990).
Whether the time limit in Section 7266(a) constitutes a statute of limitations subject to the doctrine of equitable tolling, or whether the time limit is jurisdictional and therefore bars application of that doctrine.
Options:
A. holding that the time limit for filing a petition for certiorari is not jurisdictional
B. holding that statutory time limit for filing attorney-fee reimbursement applications under Equal Access to Justice Act was not jurisdictional because time limit did not “describe what ‘classes of cases,’ the [court] is competent to adjudicate; instead, the section relate[d] only to postjudgment proceedings auxiliary to cases already within court's adjudicatory authority”
C. holding that state law, rather than Rule 3 of the Federal Rules of Civil Procedure, determines when a diversity action commences for the purposes of tolling the state statute of limitations; Rule 3 makes no reference to the tolling of state limitations, and, therefore, there is no direct conflict
D. holding statute of limitations in actions against the government are subject to a rebuttable presumption of equitable tolling applicable to suits against private defendants
E. holding that the 120-day deadline for filing a notice of appeal for a veteran claim was not jurisdictional and noting that ""[f]iling deadlines, such as the 120-day filing deadline at issue here, are quintessential claim-processing rules.""
Answer with one of the option.",E
